time	V(out)	V(vin)
3.739642857143352e-03	-3.706911e-01	1.997872e-01
3.749214285714782e-03	-3.347237e-01	1.999973e-01
3.758785714286212e-03	-2.978351e-01	1.998472e-01
3.768357142857642e-03	-2.600253e-01	1.993372e-01
3.777928571429072e-03	-2.212943e-01	1.984671e-01
3.787500000000502e-03	-1.816421e-01	1.972370e-01
3.791500000000502e-03	-1.650681e-01	1.966184e-01
3.795500000000503e-03	-1.484601e-01	1.959400e-01
3.799500000000503e-03	-1.318183e-01	1.952017e-01
3.803500000000504e-03	-1.151426e-01	1.944036e-01
3.807500000000504e-03	-9.843294e-02	1.935457e-01
3.811500000000505e-03	-8.168941e-02	1.926279e-01
3.815500000000506e-03	-6.491197e-02	1.916502e-01
3.819500000000506e-03	-4.813861e-02	1.906142e-01
3.823500000000507e-03	-3.140335e-02	1.895227e-01
3.827500000000507e-03	-1.470620e-02	1.883758e-01
3.831500000000508e-03	1.952855e-03	1.871735e-01
3.835500000000508e-03	1.857381e-02	1.859158e-01
3.839500000000509e-03	3.515666e-02	1.846027e-01
3.843500000000509e-03	5.170141e-02	1.832341e-01
3.852357142857653e-03	8.823932e-02	1.799928e-01
3.861214285714797e-03	1.240888e-01	1.765326e-01
3.870071428571941e-03	1.592498e-01	1.728535e-01
3.878928571429085e-03	1.937224e-01	1.689555e-01
3.887785714286229e-03	2.275065e-01	1.648386e-01
3.896642857143373e-03	2.606022e-01	1.605029e-01
3.905500000000517e-03	2.930094e-01	1.559482e-01
3.915785714286233e-03	3.293780e-01	1.504166e-01
3.926071428571949e-03	3.640830e-01	1.447355e-01
3.936357142857665e-03	3.971243e-01	1.389052e-01
3.946642857143381e-03	4.285020e-01	1.329254e-01
3.956928571429096e-03	4.582160e-01	1.267964e-01
3.967214285714812e-03	4.862663e-01	1.205179e-01
3.977500000000527e-03	5.126531e-01	1.140901e-01
3.985214285714815e-03	5.310792e-01	1.092484e-01
3.992928571429101e-03	5.483490e-01	1.044132e-01
4.000642857143388e-03	5.644625e-01	9.958473e-02
4.008357142857674e-03	5.794197e-01	9.476285e-02
4.016071428571961e-03	5.932206e-01	8.994758e-02
4.023785714286248e-03	6.058652e-01	8.513894e-02
4.031500000000535e-03	6.173535e-01	8.033693e-02
4.040071428571964e-03	6.286887e-01	7.505111e-02
4.048642857143394e-03	6.384528e-01	6.987423e-02
4.057214285714824e-03	6.466459e-01	6.480630e-02
4.065785714286253e-03	6.532680e-01	5.984730e-02
4.074357142857683e-03	6.583190e-01	5.499724e-02
