time	V(n002)	V(n003)
8.270773532573543e-03	7.795278e-01	7.684077e-02
8.290304782573543e-03	7.623614e-01	7.502815e-02
8.309836032573542e-03	7.338928e-01	7.208703e-02
8.329367282573542e-03	6.945502e-01	6.806166e-02
8.348898532573541e-03	6.449255e-01	6.301258e-02
8.368429782573541e-03	5.857651e-01	5.701572e-02
8.387961032573540e-03	5.179588e-01	5.016130e-02
8.407492282573540e-03	4.425263e-01	4.255241e-02
8.427023532573540e-03	3.606021e-01	3.430349e-02
8.446554782573539e-03	2.734184e-01	2.553861e-02
8.466086032573539e-03	1.822862e-01	1.638961e-02
8.485617282573538e-03	8.857609e-02	6.994091e-03
8.514914157573538e-03	-5.373403e-02	-7.251778e-03
8.534445407573537e-03	-1.476899e-01	-1.664245e-02
8.553976657573537e-03	-2.392606e-01	-2.578280e-02
8.573507907573536e-03	-3.270685e-01	-3.453535e-02
8.593039157573536e-03	-4.097930e-01	-4.276846e-02
8.612570407573536e-03	-4.861895e-01	-5.035829e-02
8.632101657573535e-03	-5.551088e-01	-5.719069e-02
8.651632907573535e-03	-6.155143e-01	-6.316288e-02
8.671164157573534e-03	-6.664975e-01	-6.818505e-02
8.690695407573534e-03	-7.072912e-01	-7.218165e-02
8.710226657573534e-03	-7.372822e-01	-7.509257e-02
8.729757907573533e-03	-7.560194e-01	-7.687403e-02
8.749289157573533e-03	-7.632209e-01	-7.749923e-02
8.768820407573532e-03	-7.587788e-01	-7.695877e-02
8.788351657573532e-03	-7.427597e-01	-7.526078e-02
8.807882907573531e-03	-7.154049e-01	-7.243080e-02
8.827414157573531e-03	-6.771258e-01	-6.851139e-02
8.846945407573531e-03	-6.284983e-01	-6.356150e-02
8.866476657573530e-03	-5.702537e-01	-5.765560e-02
8.886007907573530e-03	-5.032681e-01	-5.088249e-02
8.905539157573529e-03	-4.285489e-01	-4.334407e-02
8.925070407573529e-03	-3.472199e-01	-3.515371e-02
8.944601657573529e-03	-2.605042e-01	-2.643461e-02
8.964132907573528e-03	-1.697059e-01	-1.731791e-02
8.983664157573528e-03	-7.619059e-02	-7.940727e-03
9.003195407573527e-03	1.863527e-02	1.555889e-03
9.022726657573527e-03	1.133455e-01	1.102910e-02
9.042257907573526e-03	2.065154e-01	2.033643e-02
9.061789157573526e-03	2.967436e-01	2.933788e-02
9.081320407573526e-03	3.826729e-01	3.789806e-02
9.100851657573525e-03	4.630106e-01	4.588821e-02
9.120382907573525e-03	5.365482e-01	5.318817e-02
9.139914157573524e-03	6.021796e-01	5.968812e-02
9.159445407573524e-03	6.589175e-01	6.529032e-02
9.178976657573524e-03	7.059085e-01	6.991047e-02
9.198507907573523e-03	7.424458e-01	7.347912e-02
9.218039157573523e-03	7.679799e-01	7.594258e-02
9.237570407573522e-03	7.821270e-01	7.726377e-02
9.257101657573522e-03	7.846742e-01	7.742286e-02
9.276632907573521e-03	7.755833e-01	7.641743e-02
9.296164157573521e-03	7.549913e-01	7.426262e-02
9.315695407573521e-03	7.232080e-01	7.099082e-02
9.335226657573520e-03	6.807114e-01	6.665125e-02
9.354757907573520e-03	6.281409e-01	6.130920e-02
9.374289157573519e-03	5.662870e-01	5.504499e-02
9.393820407573519e-03	4.960802e-01	4.795285e-02
9.413351657573519e-03	4.185764e-01	4.013946e-02
9.432882907573518e-03	3.349410e-01	3.172233e-02
9.452414157573518e-03	2.464319e-01	2.282807e-02
9.471945407573517e-03	1.543803e-01	1.359046e-02
9.491476657573517e-03	6.017045e-02	4.148431e-03
